Job Title,Job Category,Date Posted,Company Name,Job Location,Job Expired Date,Minimal Salary,Maximal Salary,Employment Type,Job URL
Business Development,Business Development & Sales,16-10-2023,Solid Gold Berjangka,Jakarta Pusat,2023-11-16,2000000,10000000,FULL_TIME,https://glints.com/id/en/opportunities/jobs/business-development/1e438563-c865-416f-a03d-f60370bd0bcd
Management Trainee,Marketing,16-10-2023,Solid Gold Berjangka,Jakarta Pusat,2023-11-20,3000000,7000000,FULL_TIME,https://glints.com/id/en/opportunities/jobs/management-trainee/6d10cdc8-d0e0-4213-8be1-104646470099
Mid/Senior DevOps Engineer,Computer & Information Technology,20-10-2023,SMARTM2M Indonesia,Bandung,2023-11-20,10000000,25000000,FULL_TIME,https://glints.com/id/en/opportunities/jobs/mid-senior-devops-engineer/ba783f2f-5777-4394-bc62-a9bb86aae1f6
Java Developer,Backend Development,16-10-2023,Pt Komunitas Anak Bangsa,Jakarta Selatan,2023-11-16,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/java-developer/87917f6a-7eea-4e92-b460-6bb70e630adc
Content Creator Kuliner - Wisata - Hobby - Lifestyle (Tiktok),Digital Marketing,12-09-2023,INFO BANDUNG KOTA,Bandung,2023-11-12,1500000,6000000,CONTRACTOR,https://glints.com/id/en/opportunities/jobs/content-creator-kuliner-wisata-hobby-lifestyle-tiktok/e0ddd796-320a-445b-bc97-e09525994aba
Teacher Training Program,Education & Training,05-09-2023,Just Yoga Fit,Jakarta Barat,2023-11-05,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/teacher-training-program/c7a987b3-17b8-4f49-9b00-d976656d433c
Software Quality Control (Project Based),Computer & Information Technology,19-10-2023,PT Bawana Margatama,Jakarta Selatan,2023-11-19,7000000,7500000,FULL_TIME,https://glints.com/id/en/opportunities/jobs/software-quality-control-project-based/a3d9f8af-33a9-4fc2-8e4d-e3b7a4301c9f
Guru Mandarin (Full Time/Part Time),Education & Training,19-10-2023,EnglishLand Edu Center,Jakarta Barat,2023-11-19,4000000,7000000,FULL_TIME,https://glints.com/id/en/opportunities/jobs/guru-mandarin-full-time-part-time/6fce0657-d87b-49f3-91b4-b24eb490fd7c
Guru Matematika SD,Education & Training,26-02-2023,Bimbingan Belajar L2C,Jakarta Barat,2023-11-05,3500000,5000000,FULL_TIME,https://glints.com/id/en/opportunities/jobs/guru-matematika-sd/3e5e46cb-78e6-4829-900c-8def44a91f03
Fashion Designer / Product Development Specialist (Bag & Wallet),"Apparel, Textile & Leather",13-10-2023,VONA,Tangerang,2023-11-13,5000000,7000000,FULL_TIME,https://glints.com/id/en/opportunities/jobs/fashion-designer-product-development-specialist-bag-and-wallet/a9435609-ddf4-41bb-b6ea-c9840759a0f1
DevOps Engineer,Computer & Information Technology,03-10-2023,Caribarang.id,Jakarta Barat,2023-11-03,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/devops-engineer/815caacd-865f-40a2-842d-a0a0c17be912
Fullstack Web Development Instructor,Education & Training,12-10-2023,Skilvul,Jakarta Selatan,2023-11-12,,,PART_TIME,https://glints.com/id/en/opportunities/jobs/fullstack-web-development-instructor/d5936b8e-688f-4fdf-a2e2-56d1d776cbba
Sales,Business Development & Sales,11-10-2023,PT. Wong Boga Lestari,Jakarta Pusat,2023-11-11,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/sales/63f1a09d-7bb4-4e80-84eb-ebb921bf0287
Full Stack Developer (Senior),Computer & Information Technology,10-10-2023,Media Fakta Global,Jakarta Selatan,2023-11-10,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/full-stack-developer-senior/f80ee61f-428c-466c-9ad6-1fac58bac8de
Sales Promotor Boy,Retail,19-10-2023,CV RAJAWALI CELLULAR,Denpasar,2023-11-19,2750000,3000000,FULL_TIME,https://glints.com/id/en/opportunities/jobs/sales-promotor-boy/81c8776f-c84c-452c-acd1-f91910bc5452
AKUNTAN,Accounting & Finance,26-09-2023,CV. Apola Stationery,Kupang,2023-11-26,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/akuntan/cda29ab5-9bde-4c9e-a31b-2b427d92f3e0
Senior Software Developer Odoo,Computer & Information Technology,17-04-2023,Falinwa Indonesia,Jakarta Barat,2023-11-01,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/senior-software-developer-odoo/41806fb0-bc5f-4899-860b-4441955980c1
Editor Video & Film,Arts & Creative,30-08-2023,BOOM REALTY,Tangerang,2023-11-30,2500000,4000000,FULL_TIME,https://glints.com/id/en/opportunities/jobs/editor-video-and-film/dc10e50a-9919-4957-b729-92c1cb086c3d
Management Trainee S1 Psikologi Wanita Toko Mur Baut Teknik,Administrative & Human Resources,19-10-2023,SUKSES MULYA MAGELANG,Magelang,2023-11-19,3000000,3500000,FULL_TIME,https://glints.com/id/en/opportunities/jobs/management-trainee-s1-psikologi-wanita-toko-mur-baut-teknik/3df7e32c-8a83-4ada-a59c-2416c810da0e
Web Developer,Computer & Information Technology,05-10-2023,PT Esa Jasa Indonesia,Jakarta Timur,2023-11-05,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/web-developer/f557224c-2f2f-4d78-92ac-cf0ed8e5714e
Customer Service Representative - Mandarin Speaker,Customer Service,19-10-2023,Language Talent Solutions,Jakarta Pusat,2023-11-19,1331150200,1497543975,FULL_TIME,https://glints.com/id/en/opportunities/jobs/customer-service-representative-mandarin-speaker/967e6d71-cd6f-4443-84a5-f120645a1ad1
Sales Corporate (After Sales),Car Services,18-10-2023,PT. SURYA TIMUR SAKTI JATIM,Surabaya,2023-11-18,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/sales-corporate-after-sales/f3be949b-eb66-414f-a7a2-0de42b28998b
Marketing Executive,Marketing,20-09-2023,Diah Tunas Asri,Tangerang,2023-10-27,5000000,1000000000,FULL_TIME,https://glints.com/id/en/opportunities/jobs/marketing-executive/84d67fd4-52e0-44ae-bb0e-7b99262a7e86
